date,error,tweet count,token count
2020-09-11,,21,1331
2022-08-27,,24,1329
2020-08-28,,22,1325
2023-02-19,,26,1323
2021-10-17,,27,1323
2020-08-31,,22,1322
2020-03-16,,22,1321
2019-07-29,,19,1320
2021-12-30,,24,1320
2018-01-09,,28,1319
2018-02-21,,24,1317
2020-01-23,,20,1315
2023-01-23,,27,1315
2020-07-06,,21,1314
2023-04-09,,20,1314
2022-07-18,,26,1313
2022-08-07,,22,1312
2018-10-15,,18,1312
2020-09-01,,21,1311
2018-03-13,,24,1310
2020-09-09,,23,1303
2019-09-12,,24,1300
2019-11-14,,19,1299
2019-07-12,,21,1299
2022-11-13,,24,1298
2020-11-03,,26,1298
2022-02-27,,28,1296
2020-05-28,,22,1295
2021-12-31,,28,1295
2021-01-17,,21,1293
2022-09-05,,21,1292
2020-11-02,,21,1291
2022-07-04,,24,1290
2020-06-06,,19,1286
2020-10-20,,22,1284
2022-11-20,,25,1283
2020-05-20,,23,1283
2022-11-19,,24,1283
2020-03-05,,16,1278
2023-02-18,,27,1278
2023-04-30,,21,1277
2020-09-08,,21,1273
2021-10-30,,26,1268
2020-07-01,,19,1265
2020-11-13,,22,1264
2023-02-05,,24,1264
2020-08-19,,22,1263
2018-02-06,,25,1263
2022-07-24,,24,1261
2023-03-05,,24,1261
2020-11-28,,20,1257
2022-10-01,,21,1256
2022-08-14,,22,1251
2023-04-01,,23,1249
2020-09-28,,21,1248
2020-04-03,,21,1248
2018-02-16,,24,1247
2019-02-26,,21,1245
2023-05-14,,24,1243
2018-01-29,,22,1243
2022-12-11,,18,1242
2019-02-06,,21,1238
2020-09-29,,24,1237
2021-01-16,,18,1235
2021-10-02,,23,1234
2023-02-04,,24,1232
2018-02-02,,23,1231
2019-04-03,,21,1230
2018-02-07,,23,1229
2023-05-29,,25,1226
2021-07-17,,20,1226
2018-02-27,,21,1225
2021-07-25,,22,1225
2020-01-29,,19,1219
2023-04-22,,23,1218
2020-08-15,,19,1217
2021-07-18,,24,1217
2022-01-29,,22,1216
2018-03-07,,23,1215
2018-01-16,,24,1214
2018-01-25,,22,1213
2020-06-17,,21,1210
2021-10-10,,24,1210
2023-01-21,,25,1206
2021-01-31,,20,1205
2019-04-23,,21,1205
2020-06-22,,22,1203
2019-02-13,,19,1202
2020-03-09,,20,1199
2023-04-29,,20,1198
2022-12-26,,21,1198
2018-11-14,,19,1198
2023-04-23,,22,1196
2020-04-24,,16,1194
2019-05-14,,21,1194
2020-12-10,,21,1193
2020-02-19,,14,1193
2019-03-28,,21,1191
2019-05-22,,18,1191
2022-05-01,,20,1190
2020-10-02,,20,1190
2019-10-11,,19,1189
2019-09-16,,18,1188
2019-09-19,,21,1186
2018-12-03,,19,1185
2019-02-01,,20,1183
2020-07-15,,23,1183
